title,price,link_item,index,discount,sales,category
Áo Polo nam DokaFashion vải Cotton cá sấu cao cấp xuất xịn dệt bo dày dặn chuẩn form áo thun cổ bẻ tay ngắn - Doka EZDB01,85.000₫,https://tka.tiki.vn/pixel/pixel?data=_74NOK16farc0By0iNLNa8z3Rm3Gh_Qx-C8vNg90kavF7J6gzhEgYluUOzGt8yPhknQbSD6dWcM7cVeOPDhggBIeMHSC1d_WtFqqsE2pcFTPK4cOJxorWrcWVYD3c9vqLLhXNLH6eI9YOdNx-qHSvcB7oC26rrT9zxDly92Lyl7DVqeQrxMYRbOnq4Rht3C-5S111ikUMT63jOpxE2U7zTe07qViv31Ozuab56mCMtfjgZyPQgeWXpILmcO3zdW2aNCwsUhRy8vhDDvx0YXZ3NM5BG_Xgu-y5oUKHfaFL0I9wMv5S8PUeAv-JBfRs9_thtwtIjFA0swbmHfII-rgA_xoQvx-gnySfTcSHFxSe5mOtk-Id7hWTXTPaqzyhCOSMORm8LDdt4FUaaYo53s_ZXY8zkirCrZlgNgdK78dg_txlHrv1dvNnD5pLQQ0o_quNhv3X7YPzGqWGBrCBsrxAoXHuAKHe7JXE8bbNHOp1nA2oLeSaqfORkaKK792mFnXikq9MvKq0GFc78Wgj7IMEKS95o0qyes4j6SFzQfvSPCVyPYuq1mSDB46uAd3bgnwJ1PHfjadfX3lbwNs8-bUXQciW9RXgXAsTqRNQaJjZlDOuoY6BlgsdQDizkI88jenmW1KlvxsUwe2FHYLUX1I0j9ZrInYgyLoBLGkhldA_Ft_zi4fhcb3_okNxPCnutXll8POniJN0zwIN-ZZs-c07drxQVzCQ2LzPuHPCRABnSeO_NIPRRpz1Ww3CqxIGnRCHH5xcGe5rQaRJiqSRZ3_TqfSeMb9e9Cw7ZR9xmOkSYGmBlqhBig4MdQewdWC7Muxn0J1NL8u3s598xi52q0JK5YNgqnc0rdgFdYq-vS2QeswgzgOSp1eTp1rwlgzsG8oNrdQi4KkQziSy5sn_Amn-Gs8C4D9NSUb_unOiS0-iTUfvwq9PczzM_EXMR6DUxJKzWcQrh1qxSmnZ8dT_59xzpiKON9UxMjAaP0XB9UTAGvQfDF8AarYX3P2mvo1yeuYmVDDBZa9KSXd0KLVNQa80j4vBAMObMpMhwPPMYdJaD7gw0YseOV0a9QbsjczjBsCPz5gj8YF3n6AhyWwrWX4rkinEH_szqh2I-n0jNIIew&reqid=TFxM8e3H9xsXPuKl&type=CLICK&pos=1,1,-47%,Đã bán 181,aothun
"Áo thun nam thoát nhiệt Nhật Bản GOKING siêu thoáng mát, áo phông nam cao cấp thấm hút mồ hôi, mặc như không mặc",159.000₫,https://tka.tiki.vn/pixel/pixel?data=qtQRnbl8N8hVYIQdPHL-25tgU-gkAWgziFVulnorV7a94k8-_TX5ZCVV2kKsLJCewtaeCl4_VrbLQOOq2ZN4uZnrydofq7FhIvL6_fxeB1t-YkXCYrMQUKzOgI0dkp9bbXonWY4PXzXn4B18zhfTw1cU6hBlxepVHwx024PF11_tpLzaSG2JKhRvgcImUye8f73QKCCmAM_kDh32dGQFBNFdbzTfhX0r0sNut2Fa4BGVeMct-04nKwLmzEnPGp-FZccWyKB1e5M8ySZQsX-l6VDRTguxqd7OzkgWSc3EZJzVUsG6N2RZSEpREjQVdMj3rw2UvZqjvDG8nygDDy0QCoLpLUidDKU9_wdjMn9J_2mH588W0CWbER82_GlNaATJlOfWEisyHMuVmUgEO_l1WXoG2BWs2Cgt0oMN-cnoO-imnsakdGkQKgMx_Sg2t1NQRvdwkzHEeKDq0oQGRv_dt_FGUkyiI6ffEhvVd3_pSqMNIOI6NsBWlLXdA9tlzV_YKQYuYeBuJIlcziwGL19X5Lwd4g_J0UvXqhlzE6BgDMs9gzocREMDJjtJkZxx9NAzJaoZquxdJ1iwdzA4Y3f_BNb1vvAWTdH5Xi528DX7QE32zLAGn8BzBD6Sgc30f6_rezOTRtjffhA0XRWGD7R9TNwBpMSYMBC5b5YI_Udg6J9g9KMjcGyi01ACsx0RARPgCGXbs7lgHp9h_ux4Yt5pwG5kioC9TwpVWZ2bAVuM6OCqMW6PHd1VHQNanD1ssNnQAXFX9Y3cy_-AE3s6Z4CJfI_fRKZCrAAE6jrwKTkKd0TXuVgodmYv7x13AjklQImUDd5BHVPYU_CAI4en0yC_Pk9iJDSPVvl93Vr5PcQuIgulM3LJtNRiIvRPsGPsYElOWNugPZtwkuy25_Iij9c9iXtVnfELPIUzKZYJpEgav6Eh3eNwQtWG94jPhjTc-4-XOVd1CVz_ARkttOH8DCnAf8mY0Cv0AOe83j3G2T2O7X0mjkhA4zZFat6f9TLo7wPKFW0mqdvM3BF7DM3Pf6cfVukkXMzU8ar4Xntw1SE0-bwFqDoVZs3X82aoOUP_9SKS0De16lnlqHiFa_rGwTeAidbqijq6Dw&reqid=TFxM8e3H9xsXPuKl&type=CLICK&pos=2,2,-44%,Đã bán 1.7k,aothun
"NEVER GIVE UP, mã G174. Áo thun nam nữ in chữ siêu đẹp. Áo phông thoát nhiệt GOKING hàng hiệu cao cấp",99.000₫,https://tka.tiki.vn/pixel/pixel?data=b0enEp6wJoD6C4vkDxLhtaAwWOP5qcSqCCaz84aZAQuovkjbRl-HzSk9TeFwvCW1hXkkZTx19NnzCWlu8Ni45AnH3ZZuOwR5Zv8BxRNk7CFayCIkjPHR_zAh6bnRlWVMVZgFP0KJ7HRNhP-J1YZ1mvirJ6msiYMlWEs53ip40zrKZ2szuKhKgZRTs0dRJjSVwBmXACWMOqTfsxVdv6_XodZSQ2LVNucu2ZoUApZDRWxSEez8xRfRWQr5fiB2qIpes4YCarKU6J4_4-AsLzlBmMfX2CogoBfQqHqtZ3YPgsqCd1uEUsLyQ4jYJ6In-yuZy7KOSERcw-YfQhIaSTEQJcb-8C4Dix9RkZi4jaN8vKJzV_e398-iRCHvwkLZdI-vECyO5ri8ZbZUBawIfUbD60eRBRt94za3QSGUB1luWv-p5uuHR-Thzg_7IFHHtk0qCk8rpT9dXmGINTZVJnQMNlh6hlM0GaphiYua8V_uEbRXrSSjUiJWgUbGntj_qVbNZIbaKVxF2VisMX_kDe5KbGEe8mArOvwl3PeHmhRIW4s9lob97QHbck8dGxt5Xc65E-NyPG9RfNVtmYKXyDNJ3MUe2GCMpLiTsCedU8nNo4g2b99_NevtFtPZFYxvWwFWqvO88wDDX2aUtBXykgGg5KJCLltrjeAGPyx9Qf75frvik0eza4jY-TLqCmF3cPdVOSmxKDaq1DvMeNbjXHFmOltE6ColDMGn0cTNMcQP4QBB-OFmWZwqBIME6cgb6T25aiPSJUv8IWzoSyKgneWWxCUTHMssOvqFShD5efT5cyJTZCPMCRfkE7TJLB5QAbNWFw3riyEav9jtlzwz1XnxgG2nQLw8C3i8XzSVGwcX0kw87p5uLaoor_oWzHUbmXWuCMHbU_FpVmmh7G_swejRVjvyhvdhR2iQbyLqEPLnmrXXL-ZW0dDQ31zj3Zrg1cg2LAI7WANXe-0F5H6DB-1CRFMWpqyY2xWgSgHboQSGwTRHRdjTxwELAHQhp-UoMoucbTRiPUZdEC8VKSliGyHXJXngasWKqpMJZszD79bn9Mk62_kgJ9t-Vt4bfj3wKpxWgS09Sdkz7hxSf2wcyE6gtnM-NhDG6schkOmxLh3jDB6ty5C6V1IsCh6yI0sSAor1vdyCkHQcMbCQDO-geuizLldqjwXMhzzFiurs2omh1p-kx13-DHY5OY04oTEiHd8NmXppzisMsNNchiKW7bULxfniTG-rTtW_TBXdqK_o_s_QEZvh8imU-cPr7gcOmUIBNA&reqid=TFxM8e3H9xsXPuKl&type=CLICK&pos=3,3,-46%,Đã bán 38,aothun
"NEVER SAY LOSE, mã logo.g43. Áo thun polo cổ bẻ cho nam nữ, form unisex. Áo phông cá sấu hàng hiệu Goking, quà tặng cao cấp cho gia đình, cặp đôi, doanh nghiệp",148.000₫,https://tka.tiki.vn/pixel/pixel?data=X-1qv646qj5KMN1RlZq_zFODLk_nnNaY1gllYAY_O5dZKJnK8TUrbIv6yIiqSpSIoHLnQKCptXJ5EGf8Ha1g7ukIZGexwE_ubM8NaUdeyHpKOKInrFRK8KNTsRAaHspt_IC7--vDCQ_qW4cy79qA510Y8ds9uNn61IbAj9TbMHHP0-YMNxZ7Ot_Gy-JTVorPXT4WxaGlJDr9GjxmuDmj_3CDMUtTGEhCtIowpGTGsJdahs_uaoTHO9yLxSM_j8h6H6qOx-bs0B8M-dNvuAS88edETsa9HHsqMzvC_pQG-pNqrWtbHYUDfhtN02Sf4Tdu6Sd_Mb4C1gZeJKGQWz6qKrrAOcvOg86oyWC-jkyQL_NSvV2YpGlEbe753tmPxO_LVtYkTZMGCKJrcESrnWKsSqQlavF-t8NTngXd8QTtKSGKMOKlPdXgqkGhzPV9lfZ0gMtkGXIujZ8s2FRffeEmtt_pmKOuotsU_I-Ailrr4BAD8dPCoRl7aQo5Kv1hMhwHzIz1OLqnbZ9KoL9a3RN35Ut-l6lteMeL1ytThrDjchpEYUPUzcNhUhoHZ3kTbTsbElMVU3QtW01VK-B--kHzHUF-Vc5bww1V62rxKTysk6nFJAgyKhAqgDfhtbXyKhH0fFpJwQ-2BAtROb2NhMKsqaFrYZWKGTBw91ZEeruniMXI7JmQT8LO6lV1A5Smv3ODaB-IbqP95dOqfEpQvdY3n_pQ6n8pY6MdhkRlDKWbewL53ruSyuIAr52pv-m_-mKDHfiZEsmr-NH6ovZTMvKkVdQ8ShYRqfiwstrmEkttKWnuffO6dowXjfwWAb_FxultRSbGmBKYU2Pj59iK46P2XOzcSP-Id4Raq22KXbIc1abKar5CGhf42OjaCzgl7bZwV9awk_0799CYTf7QN56PfZgp5u1wX8PftzsoKxLK_v-OA5V3_SwB2X5DLN-TTrlkj2sIVyHM4bwY9z3GYwjBJSMydpfau6LlAFYkd_lbYV9hpEuxlOjMgaT74QyWJP9F15pAXcHvvxhlwrPLC3B-T_UbsYoem235kL27sipkXX6YLXhvsWxcrTyQaTqU1dDhCLGjQmUabn2MWf9RZs74fMVCEccSwJSfBgPHOmY3j8e9kcH3ZGRw&reqid=TFxM8e3H9xsXPuKl&type=CLICK&pos=4,4,-12%,Đã bán 9,aothun
"Áo polo nam ngắn tay có cổ ( Tặng 1 quần lót nam ) , Combo 2 áo, DokaFashion regular fit chuẩn hàng xuất, áo phông thun polo nam tay ngắn – EZ235",159.000₫,https://tka.tiki.vn/pixel/pixel?data=-ouofYU95ngzYFXdlQaip__4fWzhU7XYk1Puew10XqTUJ-3thnXcw7mzlFpHWQ0bU1G2KUzfdlY6asLg67H0P24ec87PJgRBm5f7VQnxiJCLx66Ck9OiYv9LA0la8bkC3tLEeo0uuqVYNjEU3JcMKchwEXsA67KNECU0lyZyvq7633y7IAxaDDkhk4jIGg-G929o-9RhGfSLo-ZZYlAFtKNFzH7cCQBwNn7xyKPKcOvPV20KfQBqb9J8ungai9cr2apz3lTfw9KwJJ24SnlxiLCJYHBoTfqLugAuP1GXhxjSaol-TPz9ci9UUuTbfmvm-7tz0Wu7TA6iFUJjVuogJA6wh0CWJVTrtu2mO909KpZ9z-uSaH15F9VTGuP-MqtV40Bnei-QPyMJAzOudc_4rsfmS8-7G0tUfTXzVG-avKuTA-xfkEViyqZWloU7NlNfW8xnzt0GB-0v8Tkacu3MPQnejh3SmUjvRx3CWYpW9IFGZIBkCuvMIfZ9yBiTrrdzmMX4DRrTR4n_2AbjyeKpOv8yLoHc_xj2jtAMz4yH-NxidGJH5-fFXizJBUOOwSkH4XYOyeUFc7f6Xs8_l54BiBpKaCuZZonxCnRJoeUVMyOESQ_FVlqsWbrisiZ7ITY_y9xEa_vyh2uqzUYQhbxcFUjcvrGmRb9KnUdeOEPO1Sm1VR3HpTmwz-7Chxn89qjKEfjikRYE3vCC0OOTYOGwI6MYuOziyjZTubC-QYcf2wjYLe8n0igjBtzua6qsxoo9tVezjHrncV57T1gvG2qDuzEAaC2jFheQsIoq_ozi-OeI439DFS70ENL-9OiVydA7uT3-j5yhMC8f-1fneZMfWC7jPfj7LNtXfZPiOBfgEZr68viPU8cVz1QkOquz-kNONH1f7b7f3a9b5bY1jr6dXGPskFSfPl1Qe5y41NBwn8mRZbXFNymlECg8LFh54K_v7tQI1JzV4YGNgQikzOf6Xh9NRGkdvtBUunlExKOkfS3yZtObEBLfzeMEWuZ8SyvunCziKLs45_u0ywIIxWMqyowOp_QMvDdydLFbtjIgs-Ms5RBSRfZVrrVpqQyG04a9p-cKgDxJuZN7t2h0OzCBu8iruGXokAlXoOrRHGebXeKiWPzbPEg&reqid=TFxM8e3H9xsXPuKl&type=CLICK&pos=5,5,-21%,Đã bán 1.1k,aothun
Áo thun nam Cotton Compact Premium trẻ trung năng động thấm hút mồ hôi co giãn 4 chiều MRM Manlywear,134.100₫,https://tiki.vn/ao-thun-nam-cotton-compact-premium-tre-trung-nang-dong-tham-hut-mo-hoi-co-gian-4-chieu-mrm-manlywear-p176250783.html?spid=176420308,6,-18%,Đã bán 730,aothun
"Áo Polo Nam cổ bẻ TSIMPLE thun có cổ tay lỡ vải cá sấu cotton phong cách trẻ trung, chuẩn form, nhiều màu",149.000₫,https://tiki.vn/ao-polo-nam-co-be-tsimple-thun-co-co-tay-lo-vai-ca-sau-cotton-phong-cach-tre-trung-chuan-form-nhieu-mau-p99183754.html?spid=99183780,7,-37%,Đã bán 2.1k,aothun
Áo thun tay lỡ form rộng - phông nam nữ oversize - T shirt in tọa độ - 2N Unisex,99.000₫,https://tiki.vn/ao-thun-tay-lo-form-rong-phong-nam-nu-oversize-t-shirt-in-toa-do-2n-unisex-p217176888.html?spid=217176904,8,-28%,Đã bán 109,aothun
"Áo Polo nam cổ bẻ ngắn tay, chất liệu vải cá sấu cotton cao cấp, trẻ trung, năng động – FORMEN SHOP – FMPS150",179.000₫,https://tiki.vn/ao-polo-nam-co-be-ngan-tay--chat-lieu-vai-ca-sau-cotton-cao-cap--tre-trung--nang-dong---formen-shop---fmps150-p82819910.html?spid=82819912,9,-25%,Đã bán 879,aothun
"Combo 3 Áo Thun nam HÀNG HIỆU đa phong cách - ĐB3QC16 (Chọn Màu)- Vải thun cotton có điểm đặc biệt, thân thiện với làn da, co giãn và khả năng thấm hút tốt",189.000₫,https://tiki.vn/combo-3-ao-thun-nam-mau-moi-logo-truo-c-ngu-c-db3qc16-p22610869.html?spid=23503249,10,-21%,Đã bán 554,aothun
