title,price,link_item,index,discount,sales,category
"Cây nước nóng lạnh Hyundai 2 chiều, cây nước nóng lạnh úp bình thông minh màn hình Led cao cấp",1.759.000₫,https://tiki.vn/cay-nuoc-nong-lanh-hyundai-2-chieu-cay-nuoc-nong-lanh-up-binh-thong-minh-man-hinh-led-cao-cap-p249346877.html?spid=249346880,1,-30%,Đã bán 28,thietbigiadinh
Máy hút bụi cầm tay mini không dây,295.000₫,https://tiki.vn/may-hut-bui-cam-tay-mini-khong-day-p141479794.html?spid=185261954,2,-22%,Đã bán 25,thietbigiadinh
"Máy hút bụi lau sàn thông minh, loại cầm tay, không dây Dreame H11 Max - Hàng chính hãng",6.290.000₫,https://tiki.vn/may-hut-bui-lau-san-thong-minh-loai-cam-tay-khong-day-dreame-h11-max-hang-chinh-hang-p129606319.html?spid=133683380,3,-24%,Đã bán 5,thietbigiadinh
Robot Hút Bụi Lau Nhà Dreame D9 MAX - Hàng Chính Hãng,7.990.000,https://tiki.vn/robot-hut-bui-lau-nha-dreame-d9-max-hang-chinh-hang-p251275392.html?spid=148807713,4,-49%,,thietbigiadinh
,,https://tiki.vn/quat-tran-co-den-trao-den-bang-thuy-tinh-trang-tri-cho-phong-khach-voi-phong-khach-co-dien-va-hien-dai-ket-hop-p71931838.html?spid=71931839,5,-20%,,thietbigiadinh
Quạt Treo Tường Có Remote Panasonic F409MB - Xanh Dương - Hàng nhập khẩu,1.940.000₫,https://tiki.vn/quat-treo-tuong-co-remote-panasonic-f409mb-xanh-duong-hang-nhap-khau-p21407423.html?spid=44776787,6,-37%,Đã bán 81,thietbigiadinh
Máy lọc không khí và hút ẩm Sharp DW-J27FV-S - Hàng chính hãng,7.690.000₫,https://tiki.vn/ma-y-lo-c-khong-khi-va-hu-t-a-m-sharp-dw-j27fv-s-hang-chinh-hang-p10282129.html?spid=196904277,7,-9%,Đã bán 15,thietbigiadinh
Máy Làm Xoăn Tự Động Xoay 360 Độ Halio Auto Rotating Hair Curler,950.000₫,https://tiki.vn/may-lam-xoan-tu-dong-xoay-360-do-halio-auto-rotating-hair-curler-p181934310.html?spid=184880404,8,-50%,Đã bán 222,thietbigiadinh
"Quạt đứng không dây Cyke P30 tự động xoay, gấp gọn dùng gia đình để bàn, để sàn tiện lợi, có Remote điều khiển từ xa, 8 tốc độ gió và hẹn giờ tiện lợi, hàng chính hãng",1.950.000,https://tiki.vn/quat-dung-khong-day-cyke-p30-tu-dong-xoay-gap-gon-dung-gia-dinh-de-ban-de-san-tien-loi-co-remote-dieu-khien-tu-xa-8-toc-do-gio-va-hen-gio-tien-loi-hang-chinh-hang-p149198640.html?spid=149198641,9,-25%,,thietbigiadinh
,,https://tiki.vn/quat-dien-senko-de-ban-tien-loi-cao-cap-b1210-mau-ngau-nhien-hang-chinh-hang-p31883144.html?spid=167045249,10,,,thietbigiadinh
Máy Hút Bụi Giường SAMONO Tia UV diệt khuẩn Lực hút 14K Pa Tự động sấy khử ẩm Hộp chứa 300ml SW-MPG350 HÀNG CHÍNH HÃNG,769.000₫,https://tiki.vn/may-hut-bui-giuong-samono-sw-mpg350-tia-uv-diet-khuan-luc-hut-14k-pa-tu-dong-say-khu-am-hop-chua-300ml-hang-chinh-hang-p272620391.html?spid=272620392,11,-50%,Đã bán 1,thietbigiadinh
"Cây Nước Nóng Lạnh Để Bàn T-35, Máy Nước Nóng Lạnh Mini, Cây Nước Văn Phòng Để Bàn",579.000,https://tiki.vn/cay-nuoc-nong-lanh-de-ban-t-35-may-nuoc-nong-lanh-mini-cay-nuoc-van-phong-de-ban-p247879909.html?spid=247879913,12,-28%,Đã bán 2,thietbigiadinh
,,https://tiki.vn/quat-khong-canh-sieu-mat-an-toan-cr-305-de-ban-hoac-treo-tuong-p50392320.html?spid=58124461,13,-25%,,thietbigiadinh
Máy sấy quần áo Aqua 8 kg AQH-V800H.SS - Hàng chính hãng,8.100.000₫,https://tiki.vn/may-say-quan-ao-aqua-8-kg-aqh-v800h-ss-p271266055.html?spid=271266057,14,,,thietbigiadinh
Robot hút bụi lau nhà Roborock S8/ S8 Plus - Bản quốc tế - Hàng Chính Hãng,12.490.000₫,https://tiki.vn/robot-hut-bui-lau-nha-roborock-s8-s8-plus-ban-quoc-te-bao-hanh-18-thang-p242083105.html?spid=243422446,15,,Đã bán 4,thietbigiadinh
Bàn ủi hơi nước đứng Philips GC506/39 - Hàng chính hãng,1.990.000₫,https://tiki.vn/ban-ui-hoi-nuoc-dung-philips-gc506-39-hang-chinh-hang-p225200231.html?spid=225200232,16,,,thietbigiadinh
Máy May Brother GS2700 ( 51W) - Hàng chính hãng,4.300.000,https://tiki.vn/may-may-brother-gs2700-51w-hang-chinh-hang-p377075.html?spid=75544,17,,,thietbigiadinh
,,https://tiki.vn/quat-treo-tuong-kdk-m40m-den-hang-chinh-hang-p367142.html?spid=52047064,18,,,thietbigiadinh
"Robot Hút Bụi Lau Nhà XIAOMI DREAME D10S PLUS Tự Đổ Rác Cảm Biến Nhận Diện Siêu Thông Minh Diện Tích Hoạt Động 200m2, Lực Hút 5000 Pa Công Suất 40 W - Hàng Chính Hãng",9.999.000₫,https://tiki.vn/robot-hut-bui-lau-nha-dreame-bot-w10-dien-tich-hoat-dong-300m2-cong-suat-55w-ap-suat-5100-pa-hang-chinh-hang-p183368719.html?spid=183368720,19,,Đã bán 9,thietbigiadinh
"Máy Nước Nóng Lạnh 3 vòi Datkeys IP28B | màu đen, có tủ lạnh mimi | Hàng chính hãng",2.190.000₫,https://tiki.vn/may-nuoc-nong-lanh-3-voi-datkeys-ip28b-mau-den-co-tu-lanh-mimi-hang-chinh-hang-p251256429.html?spid=251256430,20,,Đã bán 7,thietbigiadinh
Máy lọc nước nóng lạnh Karofi Livotec 628 - Hàng chính hãng,9.000.000₫,https://tiki.vn/may-loc-nuoc-nong-lanh-karofi-livotec-628-hang-chinh-hang-p272301760.html?spid=272301884,21,,,thietbigiadinh
Bàn ủi khô Philips HD1172/01 - Hàng chính hãng,349.000₫,https://tiki.vn/ban-ui-kho-philips-hd1172-01-hang-chinh-hang-p171898434.html?spid=171898435,22,,Đã bán 44,thietbigiadinh
Quạt Treo Tường Toshiba F-WSA20(H)VN (55W) - Xám - Hàng chính hãng,1.415.500₫,https://tiki.vn/quat-treo-tuong-toshiba-f-wsa20-h-vn-55w-xam-hang-chinh-hang-p2635459.html?spid=72212387,23,,Đã bán 2,thietbigiadinh
MÁY LỌC KHÔNG KHÍ KAISA VILLA JD-8036,830.000₫,https://tiki.vn/may-loc-khong-khi-kaisa-villa-jd-8036-p263799382.html?spid=263799383,24,,,thietbigiadinh
