title,price,link_item,index,discount,sales,brand
Máy Lọc Không Khí Tiross TS9710 - Hàng Chính Hãng,3.349.000₫,https://tiki.vn/may-loc-khong-khi-tiross-ts9710-hang-chinh-hang-p17895385.html?spid=191658793,1,,,Tiross
Ca Nấu Đa Năng Tiross TS1366 (1.2L) - Hồng - Hàng chính hãng,650.000₫,https://tiki.vn/ca-nau-da-nang-tiross-ts1366-1-2l-hong-hang-chinh-hang-p12284683.html?spid=45831457,2,-20%,,Tiross
Máy Hút Bụi Khô Và Ướt Không Dây TIROSS TS9306 - Hàng Chính Hãng,11.800.000₫,https://tiki.vn/may-hut-bui-kho-va-uot-khong-day-tiross-ts9306-hang-chinh-hang-p249590980.html?spid=249590981,3,-17%,,Tiross
Máy xay cà phê mini Tiross TS532 - TS530 - 150W - Hàng chính hãng,545.000,https://tiki.vn/may-xay-ca-phe-mini-tiross-ts532-ts530-150w-hang-chinh-hang-p203463277.html?spid=203463283,4,-19%,,Tiross
,,https://tiki.vn/binh-dun-sieu-toc-tiross-1-7-lit-ts486-cong-suat-2000w-hang-chinh-hang-p270771823.html?spid=270771824,5,,,Tiross
Nồi áp suất Tiross TS9480 (4.8 Lít) Hàng Chính Hãng,2.085.000₫,https://tiki.vn/noi-ap-suat-tiross-ts9480-4-8-lit-hang-chinh-hang-p198366155.html?spid=198366156,6,,,Tiross
Kẹp nướng điện Tiross TS965 - Hàng chính hãng,1.179.000₫,https://tiki.vn/kep-nuong-dien-tiross-ts965-hang-chinh-hang-p198424641.html?spid=205618122,7,,Đã bán 5,Tiross
Kẹp Nướng Thịt Đa Năng Tiross TS9653 - Ghi.Hàng Chính Hãng,1.594.000₫,https://tiki.vn/kep-nuong-thit-da-nang-tiross-ts9653-ghi-hang-chinh-hang-p198416601.html?spid=249521180,8,,,Tiross
"Quạt đứng có điều khiển Tiross TS9187, dùng động cơ DC - Hàng chính hãng",2.295.000,https://tiki.vn/quat-dung-co-dieu-khien-tiross-ts9187-dung-dong-co-dc-hang-chinh-hang-p198542197.html?spid=198542198,9,,,Tiross
,,https://tiki.vn/may-danh-trung-tiross-ts5400-den-hang-chinh-hang-p198537344.html?spid=198537345,10,,,Tiross
Quạt Cây Có Điều Khiển Tiross TS951 - Hàng chính hãng,1.395.000₫,https://tiki.vn/quat-cay-co-dieu-khien-tiross-ts951-hang-chinh-hang-p198537474.html?spid=198537475,11,,,Tiross
Máy Làm Tỏi Đen Tiross TS906 - Màu Mận Chín - Hàng Chính Hãng,1.395.000,https://tiki.vn/may-lam-toi-den-tiross-ts906-mau-man-chin-hang-chinh-hang-p198291768.html?spid=198291769,12,,,Tiross
,,https://tiki.vn/may-lam-toi-den-tiross-ts904-do-hang-chinh-hang-p196203931.html?spid=196203932,13,,,Tiross
Lò Nướng Halogen Tiross TS9601 - 9L (Trắng) - Hàng chính hãng,699.000₫,https://tiki.vn/lo-nuong-halogen-tiross-ts9601-9l-trang-hang-chinh-hang-p198382062.html?spid=243103685,14,,,Tiross
Máy Làm Sữa Hạt Đa Năng TS9821 - Hàng Chính Hãng (Tặng kèm ấm đun đa năng Tiross TS1366),5.489.000₫,https://tiki.vn/may-lam-sua-hat-da-nang-ts9821-hang-chinh-hang-tang-kem-am-dun-da-nang-tiross-ts1366-p85671607.html?spid=249521397,15,,,Tiross
