title,price,link_item,index,discount,sales,category
Điện thoại bàn có dây Panasonic KX-TS560MX,730.000₫,https://tiki.vn/dien-thoai-ban-co-day-panasonic-kx-ts560mx-hang-chinh-hang-p11376644.html?spid=131391454,1,,Đã bán 12,dienthoaiban
Điện thoại để bàn Panasonic KX-TS840 hàng chính hãng,800.000₫,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts840-hang-chinh-hang-p16520424.html?spid=44164123,2,,,dienthoaiban
Điện thoại bàn cổ điển DT115,2.500.000₫,https://tiki.vn/dien-thoai-ban-co-dien-dt115-p52480318.html?spid=111536309,3,,,dienthoaiban
Điện Thoại Bàn Panasonic KXTGF320CX - Hàng Chính Hãng,2.350.000,https://tiki.vn/dien-thoai-ban-panasonic-kxtgf320cx-hang-chinh-hang-p4065607.html?spid=77768129,4,,,dienthoaiban
,,https://tiki.vn/dien-thoai-voip-yealink-sip-t30-hang-chinh-hang-p102620086.html?spid=102620089,5,,,dienthoaiban
Điện thoại Panasonic KX-TS560MX -Hàng chính hãng,675.000₫,https://tiki.vn/dien-thoai-panasonic-kx-ts560mx-hang-chinh-hang-p117929538.html?spid=117929539,6,,Đã bán 6,dienthoaiban
Điện thoại không dây Panasonic KX-TGC212 - Hàng Chính Hãng,1.680.000₫,https://tiki.vn/dien-thoai-khong-day-panasonic-kx-tgc212-hang-chinh-hang-p21465183.html?spid=53536374,7,,Đã bán 10,dienthoaiban
Điện thoại Panasonic KX-TGC313CX -Hàng chính hãng,1.949.000₫,https://tiki.vn/dien-thoai-panasonic-kx-tgc313cx-hang-chinh-hang-p118124199.html?spid=118124200,8,,Đã bán 1,dienthoaiban
Điện Thoại Cổ Điển DT150 - Bản Dây Line,2.500.000,https://tiki.vn/dien-thoai-co-dien-dt150-ban-day-line-p58146831.html?spid=111536319,9,,,dienthoaiban
,,https://tiki.vn/dien-thoai-de-ban-tan-co-dien-chuong-thanh-ban-phim-quay-ma-dt10-dung-sim-di-dong-hoac-dung-cap-nghe-goi-am-thanh-ro-rang-va-de-trang-tri-dien-thoai-ban-tan-co-dien-p54882670.html?spid=55089791,10,,,dienthoaiban
