title,price,link_item,index,discount,sales,category
Máy tính bảng Kindle Fire HD10 2023 13th - 32Gb - Hàng nhập khẩu,3.590.000₫,https://tka.tiki.vn/pixel/pixel?data=PcGonpnKSrBCjkK8usTTxuwCxHSlalMiFJH33WqwWCMpbl4S-TF2tea-ZGUNbzQyB06N_LpnsJFSBwm0Yl1grCLIEaf12WLK1UaLjESH6C6HcGrPFk9ZRFilNODJEELArKGtMd0fVGRhiDKxZlPbqwyWA51_GTM8lqGbCl1N0wYsmpKWWe_xY8TfQUV6C9FN92o3gHFzs4bWkNEMeib8kv088LRHu7GtGWnzGEbIGmGBKaaOqPwZcEb_3pGZ07DNs9vaRDxh073BRp-ZNHshFRBrgD473RRN7rbwen5aK_6I9seR7LDCqD1QSdS41FJQ8sNYh0WtOS2ZhZvbJQtq1Zyg-RJ9a0t0VGU5ZZmfD2AHbiPM-dl6-SED8fFSN285sMCGHxQ56yF3enDMGs6tesFgXYeoVRsUbm75K5GQpWu0IghThEtyA1Wu4sGQexObRbM_brZKfKfgIAHPc6lNJpCswNj55vCHqeTqzKa8gQ-02T5xwTIBx2toi6ADYH-l_kkSsHJHXvUJb-XLGlNg6zDzCN4CtMdt6S8T8eKaHoXIx97KAiP82-JN9n34CLdR-8ioE7r11ODAF4XiU0iojCBs6eeIXkG1Jh5_xU_z1HkNDZ5FsuVfly7wcwN4SlFWEMchn9FLvprG2wE8m7FM-j6ssemI9yN05_vyXKdykc7xifqhoDsdPcxyXQ6u9XpiWXrLVsiflNgE3a3mWQIFsec656XQKwN7v4WdAXv3YTMi3t7njxKYz1jDMxJZmoeWl0qKHk9Qp_THhfjoykPumYhlkKNPipYWzseGoVMqSXZ3v3xvXWD-yWlRHQ85n5g322yBtWYgPDXwHYfopllzd_fJAXo0_UAP_D_PQQZgR0OBt2rDtSCOBcQ3TKDNyU1IDlIm8AU2he71vNkp9AcG8WypIwcXGH9fX-4uKTdvbSkQgHuQKudckTPEAm99gDy3eskRcCm6U-a4YJnfvW6mHtjxopc94MyirWaOWmKoI-H4brJ0ND_6nJqapN7Q&reqid=F5CFRLmvHoMKxOk9&type=CLICK&pos=41,1,-20%,,maytinhbang
Máy tính bảng Kindle Fire Max 11 inch - 13th - 2023 - Ram 4Gb - Hàng nhập khẩu,5.490.000₫,https://tka.tiki.vn/pixel/pixel?data=j3kDt6l4G0FJNb4JY2ZrBKc6IrfLrayrfSyrVWBQMbaMj5OEWdeXcuBbp9iCobqgzL7LOCcGxd4zvL_trHbmQvs_0ktDskAiM6Pq2pTnav52c8yOa9rmGx0XadyHVLGG6rI8cRCT_ecXafpRX8SyMYUA9ofzC3ZfGGU7v19P5R7nYe-hEu0Ulfk4pn1bQEJGzRAZeurSL4dRIPmI9BA3DK_GS6UGxil1vKDSrNFcMD8Eved7UA6R2VjPsbtL7VODwDahWsu6hcBcfL1ehxigFs_lMAMC7izEmfWW26eY85R2rENlu7Y4Rmvgw4wsWjMr7B1gBQ2WHoRv-qHNvSqSfcotuxRNopfGAOt5hSX6brV-biANRIuLk3GBw4GbXcJnqaz_EhnGD8xZ8Aegnqdr77vZtKtwxc150VsPxlK2NNN_Sp1RFrqmNKapPM2kSDgEVEV14VOEE2GRx_igacZ7v8k8YhhuJ1kmyhS-nODflb3qvhz6k371y-ed7YBBXrkDYyD7hARb46IRh0DaouDSoZSSGKoP2CGHWV3IF_WVVB3IksklaoVHA7ZeyQCPjVYzVepp9f5OSyDnI8l3rq8aHlIeVN0CDSSInQkCsXLxzmt4sNTmEpP3wpjhhF7KoFtQlQp6qd2OPaxBrJYbgcRhMZ_RoFy-GbFT3aAaUlriJtg2odtmk7_4S44cJWNv0q-u2RU-n6A-MpTunVRgz4LRw3DW3grD5jXXGoKyFTwu1dBUSIcJPuVcMj3FQHBr0tRYKGt1ieGDbyEMTSgYz-TBMjbrSalAu1qpf5Ht8-Ujpw8bi20nTUXU4u7FTxlQE0W2whrhMOshAnostFiA2gW7hBeIWSV3SIDMpiCAbAX1jxasjv_TMqvl2JJGP_Q-gGN6tV6RKrXFta9Qx5Vvf1-_HJd0isk7MDzxobkCmFpbM4ftrN7RXW4nzsu5F-_kaSPHYuXund2bkqih3hf1Tv3s_N3To9k7_IJLbsdsxfQ1e_WiCPa4AgFpf1GhgeXyutf-zvMWG2CjLw&reqid=F5CFRLmvHoMKxOk9&type=CLICK&pos=42,2,-31%,,maytinhbang
Máy Tính Bảng Samsung Galaxy Tab A7 3GB/64GB - Hàng Chính Hãng,6.400.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a7-3gb-64gb-hang-chinh-hang-p136876846.html?spid=136876850,3,-15%,Đã bán 2,maytinhbang
Máy tính bảng Masstel tab 10.1 pro - Hàng chính hãng,4.290.000₫,https://tiki.vn/may-tinh-bang-masstel-tab-10-1-pro-p273231495.html?spid=273231496,4,-11%,,maytinhbang
Điện Thoại Masstel Tab 10A 3GB/32GB - Hàng Chính Hãng,2.616.000₫,https://tiki.vn/dien-thoai-masstel-tab-10a-3gb-32gb-hang-chinh-hang-p160450655.html?spid=160450659,5,-22%,Đã bán 5,maytinhbang
Điện thoại Xiaomi Redmi A2 (2GB/32GB) - Hàng chính hãng,1.690.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-a2-2gb-32gb-hang-chinh-hang-p273096928.html?spid=273096930,6,,Đã bán 1,maytinhbang
Máy Tính Bảng Samsung Galaxy Tab S8 Ultra 5G (8GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,30.990.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s8-ultra-5g-8gb-128gb-da-kich-hoat-dien-tu-hang-chinh-hang-p169459856.html?spid=169459858,7,,,maytinhbang
Máy Tính Bảng Samsung Galaxy Tab S8 (Wi-Fi)- ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,19.416.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s8-wi-fi-da-kich-hoat-dien-tu-hang-chinh-hang-p206481184.html?spid=216732449,8,,,maytinhbang
Máy tính bảng Xelex Gama Tab X8 EDU (Hàng chính hãng),2.890.000₫,https://tiki.vn/may-tinh-bang-xelex-gama-tab-x8-edu-p249782771.html?spid=249782772,9,,,maytinhbang
Máy Tính Bảng Samsung Galaxy Tab S8+ 5G (8GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,24.041.000₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s8-5g-8gb-128gb-da-kich-hoat-dien-tu-hang-chinh-hang-p169459378.html?spid=216714870,10,,,maytinhbang
