title,price,link_item,index,discount,sales
Điện thoại OPPO Reno10 5G (8GB/256GB) - Hàng Chính Hãng,10.990.000₫,https://tka.tiki.vn/pixel/pixel?data=U3w0OwkNRDxU-nfSoO0YzgQMMfCss2mKs8nRHygeba9joprjTVx2ewrJ0kYxUBJ34tEtb7CnUMGFHctU9iKB-E1m9UvoHrLPGqFrXSsnkTQ7oVxxk-9HkKI4JHggh-io-YlK7Lht0uAXqZap_7obz72PAwKaZqmmvfvhWHqtPuP71u6Basg0rXb1JnZmGEpyWlrW9AzkDs_QD-SvA8_Ywh6aEI5gybQFPAfGH3Q0QMn17xtOamVUoUmMd7kMhYNefee-UULC5byRJhcrRmsO-eTqD1472E3Tuqi2O3i9KykAbYf9RQ8U1KuhAHT47MlezQNJeRYerUDh8eK487Bx1Mp18pbufjFU7APzEl-aigO0zJ83stVoInxh8iGTh5pGNU0CELbk1DsPUq1330u5jXyfv5SkFskhU6DuVsrHLZgerw73mO5WcOwbB009ejP3xR5LcidlnFw8sQ4ohN_zwyVD65faqTxOsiSnddsiAoMtJlhFD0csZclnSxCiA1YMcLw9maY8hB4yw_6MMNg0wmcMV-6tmEV1qOEL0yGKg6a_9vLR8XzRZK9jMH27yKBC1XNRRnyl2BiBK-ezwpf6tsq_sWPJHswHP1x9YNH0WZL9preO4_zhDT4a3QkBvjsst-yIwekwB8CjbDKIQ9i8bgWkXKcfiVI8_uUjh9KB4xLlcOZ_Cd1xPH4fD7NGZcLd4xoBXCu3mbq7hxaTV1XTXdlJIFUG_w_TgCmHXe9N4JVD4x-aTuxVy-7r70SBW4KyK7DMloLTA6Ca9Z8wRfRULSZrSnbgbb1ziuY0hspsg3C72fyxtOXfvMnBIFd9wX8Q2tDhhKDsLhpB4pBP67YZrc_spNWDqND3AMQ3LwhZvtGVfBubPjyvxlO0gQLibB9G8NWaKPZUUX0FiPZ1W9j9T0Wnn-wkHhGMaB1r3bwSBuZfYHSVFnv1bLMpieGOZ5FBmCjIux0bDa4K_Rx3fRVNCJCJ7c_T3A6hD2SgJP37FylRmcX7BgiydIaV-9D75y3C4Q&reqid=EUjumblpelCxpzez&type=CLICK&pos=1,1,-34%,Đã bán 17
Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,3.290.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-128gb-hang-chinh-hang-p205750556.html?spid=263117365,2,-28%,Đã bán 5k+
Điện Thoại Oppo A17k (3GB/64GB),2.370.000₫,https://tiki.vn/dien-thoai-oppo-a17k-3gb-64gb-hang-chinh-hang-p203853390.html?spid=203853394,3,-37%,Đã bán 5k+
Điện Thoại Oppo Reno8 5G (8GB/256GB),6.250.000₫,https://tiki.vn/dien-thoai-oppo-reno8-5g-8gb-256gb-hang-chinh-hang-p194487223.html?spid=194487225,4,-14%,Đã bán 256
Điện Thoại Oppo Reno 10 5G (8GB/256GB) - Hàng Chính Hãng,9.490.000₫,https://tiki.vn/dien-thoai-oppo-reno-10-8gb-256gb-hang-chinh-hang-p270875813.html?spid=270875858,5,-14%,Đã bán 23
Điện Thoại Oppo A78 8GB/256GB - Hàng Chính Hãng,5.990.000₫,https://tiki.vn/dien-thoai-oppo-a78-8gb-256gb-hang-chinh-hang-p270160350.html?spid=270161021,6,-19%,Đã bán 20
Điện thoại OPPO A55s 5G 4GB/64GB - Màn 90hz - Chống nước IP68 - Hàng nhập khẩu - Bản quốc tế,2.990.000₫,https://tiki.vn/dien-thoai-oppo-a55s-5g-4gb-64gb-man-90hz-chong-nuoc-ip68-hang-nhap-khau-ban-quoc-te-p230203067.html?spid=230203073,7,-13%,Đã bán 24
Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng,4.350.000₫,https://tiki.vn/dien-thoai-oppo-a58-6gb-128gb-hang-chinh-hang-p270975124.html?spid=270975155,8,-14%,Đã bán 15
Điện thoại OPPO Reno10 5G (8GB/256GB) - Hàng Chính Hãng,10.990.000₫,https://tiki.vn/dien-thoai-oppo-reno10-5g-8gb-256gb-hang-chinh-hang-p271118390.html?spid=271121058,9,-13%,Đã bán 17
Điện thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,4.290.000₫,https://tiki.vn/dien-thoai-oppo-a78-6gb-128gb-hang-chinh-hang-p271087979.html?spid=271117937,10,-25%,Đã bán 11
Điện Thoại Oppo Reno8 T 5G 8GB/128GB - Hàng Chính Hãng,7.700.000₫,https://tiki.vn/dien-thoai-oppo-reno8-t-5g-8gb-128gb-hang-chinh-hang-p230082250.html?spid=253386544,11,-12%,Đã bán 2
Điện thoại OPPO Reno8T 5G (8GB/128GB) - Hàng chính hãng,7.700.000₫,https://tiki.vn/dien-thoai-oppo-reno8t-5g-8gb-128gb-hang-chinh-hang-p215746871.html?spid=253386534,12,-40%,Đã bán 2
